,raw_affiliation_strings,Repository,False,True,OA %
0,"Department of Medicinal Chemistry, University of Minnesota, Minneapolis, Minnesota, USA (now same), (TGM)",IUPAC Standards Online,214.0,0.0,0.0
1,"Department of Aerospace Engineering and Mechanics, University of Minnesota, Minneapolis, Minnesota 55455, USA",Default Digital Object Group,28.0,0.0,0.0
2,University of Minnesota - St. Paul,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),21.0,0.0,0.0
3,"University of Minnesota, Saint Paul, MN (United States)",OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),11.0,0.0,0.0
4,"Univ. of Minnesota, Minneapolis, MN (United States)",OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),7.0,0.0,0.0
5,"University of Minnesota, Minneapolis 14, Minn., U.S.A.",IUPAC Standards Online,6.0,25.0,0.8064516129032258
6,"University of Minnesota, College of Veterinary Medicine, Department of Veterinary Clinical Sciences",Zenodo (CERN European Organization for Nuclear Research),4.0,0.0,0.0
7,"Department of Ecology, Evolution and Behavior, University of Minnesota, St Paul, Minnesota 55108",Zenodo (CERN European Organization for Nuclear Research),4.0,2.0,0.3333333333333333
8,"Department of Chemistry, University of Minnesota, Minneapolis, Minnesota 55455, USA",Default Digital Object Group,4.0,0.0,0.0
9,"Department of Mechanical Engineering, University of Minnesota Twin Cities, Minneapolis, Minnesota 55455, USA",Default Digital Object Group,4.0,0.0,0.0
10,"Department of Mechanical Engineering, University of Minnesota, Minneapolis, Minnesota 55455, USA",Default Digital Object Group,4.0,0.0,0.0
11,"Department of Applied Economics, University of Minnesota, St. Paul, MN 55108, USA",Zenodo (CERN European Organization for Nuclear Research),4.0,4.0,0.5
12,"Department of Ophthalmology and Visual Neurosciences, University of Minnesota, Minneapolis, Minnesota, USA",Zenodo (CERN European Organization for Nuclear Research),4.0,2.0,0.3333333333333333
13,"University of Minnesota, USA",Artifact Digital Object Group,4.0,0.0,0.0
14,"Department of Otolaryngology, University of Minnesota, Minneapolis, Minnesota 55455",Default Digital Object Group,2.0,0.0,0.0
15,"Department of Aerospace Engineering and Mechanics, University of Minnesota, Minneapolis, Minnesota 55455",Default Digital Object Group,2.0,0.0,0.0
16,"Department of Psychology, University of Minnesota, Minneapolis, Minnesota 55455",Default Digital Object Group,2.0,0.0,0.0
17,"School of Physics and Astronomy, University of Minnesota, Minneapolis, Minnesota 55455, USA",Zenodo (CERN European Organization for Nuclear Research),2.0,3.0,0.6
18,"Department of Veterinary Population Medicine, University of Minnesota, Saint Paul, Minnesota",PMC,2.0,0.0,0.0
19,"Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, Minnesota 55455, USA",Default Digital Object Group,2.0,0.0,0.0
20,"Departments of Psychology and Otolaryngology, University of Minnesota, Minneapolis, Minnesota 55455",Default Digital Object Group,2.0,0.0,0.0
21,"School of Physics and Astronomy, Minnesota Institute for Astrophysics, University of Minnesota, Minneapolis, MN, USA",Zenodo (CERN European Organization for Nuclear Research),2.0,0.0,0.0
22,"Department of Earth and Environmental Sciences, University of Minnesota, Twin Cities, Minnesota, United States",Zenodo (CERN European Organization for Nuclear Research),2.0,0.0,0.0
23,"Department of Psychiatry, University Hospitals, University of Minnesota, Minneapolis 55455.",PsycEXTRA Dataset,1.0,0.0,0.0
24,Department of Veterinary and Biomedical Sciences College of Veterinary Medicine University of Minnesota Saint Paul Minnesota,PMC,1.0,0.0,0.0
25,"Univ. of Minnesota, St. Paul, MN (United States)",OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),1.0,0.0,0.0
26,"Department of Veterinary and Biomedical Sciences, College of Veterinary Medicine University of Minnesota Saint Paul Minnesota",PMC,1.0,0.0,0.0
27,"Department of Astronomy, University of Minnesota, 116 Church SE, Minneapolis, MN 55455",Zenodo (CERN European Organization for Nuclear Research),1.0,1.0,0.5
28,Veterinary Diagnostic Laboratory University of Minnesota Saint Paul Minnesota,PMC,1.0,0.0,0.0
29,University of Minnesota,PsycEXTRA Dataset,1.0,0.0,0.0
30,"University of Minnesota, Minnesota 55455, USA",Default Digital Object Group,1.0,0.0,0.0
31,University of Minnesota,The SHAFR Guide Online,1.0,0.0,0.0
32,"University of Minnesota, Minneapolis,#TAB#",The SHAFR Guide Online,1.0,0.0,0.0
